company,year,BS_TOT_ASSET,ENVIRONMENTAL_SCORE,ESG_SCORE,GOVERNANCE_SCORE,RD_EXPEND_TO_NET_SALES,RETURN_COM_EQY,RETURN_ON_ASSET,SOCIAL_SCORE,log_assets,RD_transformed,has_RD,small_firm,sector_Consumer cyclical,sector_Consumer defensive ,sector_Industrials ,sector_Technology,sector_Utilities,sector_financials 
SPNO DC Equity,2023,134896.0,0.04,1.76,5.7,2.2881,19.7447,1.8707,1.23,11.812259390162456,1.1903098903567526,1,0,False,False,False,False,False,True
SPNO DC Equity,2024,143785.0,0.04,1.76,5.7,2.6129,16.6005,1.5947,1.23,11.876074407284444,1.2845107739524069,1,0,False,False,False,False,False,True
SYDB DC Equity,2021,168185.0,0.04,2.01,6.32,1.4382,11.2995,0.8396,1.5,12.032819842996094,0.8912600621489087,1,0,False,False,False,False,False,True
SYDB DC Equity,2022,179318.0,0.04,2.2,6.84,2.4851,14.5011,1.0906,1.71,12.096916044961583,1.2484967382054017,1,0,False,False,False,False,False,True
SYDB DC Equity,2023,185101.0,0.04,2.18,6.82,2.1685,23.437,1.8309,1.67,12.12865690103214,1.1532582897814345,1,0,False,False,False,False,False,True
SYDB DC Equity,2024,193669.0,0.04,2.18,6.82,1.8264,18.1344,1.4537,1.67,12.17390579528613,1.0390038170627984,1,0,False,False,False,False,False,True
TRIFOR DC Equity,2021,245.664,0.0,1.4,5.43,1.334,30.8463,12.3634,0.48,5.503964748645488,0.8475835338643642,1,1,False,False,False,True,False,False
TRIFOR DC Equity,2022,249.274,4.75,3.77,7.65,0.5942,13.5554,6.1466,1.12,5.518552693073072,0.4663720430116857,1,1,False,False,False,True,False,False
TRIFOR DC Equity,2023,304.263,4.62,3.81,7.95,0.6324,12.4367,5.2893,1.14,5.717892458974541,0.49005132454951356,1,1,False,False,False,True,False,False
TRIFOR DC Equity,2024,334.308,4.62,3.81,7.95,0.3937,13.0239,5.1922,1.14,5.8120627237409765,0.33196208114332687,1,1,False,False,False,True,False,False
TRMDA DC Equity,2021,2330.999,4.31,4.27,6.01,2.5021,-4.0673,-1.9442,2.05,7.754052210035236,1.2533627885673355,1,1,False,False,True,False,False,False
TRMDA DC Equity,2022,2614.176,5.52,5.1,6.39,1.5893,44.077,22.7597,2.57,7.868704221680436,0.9513875689115845,1,1,False,False,True,False,False,False
TRMDA DC Equity,2023,2870.147,5.33,5.02,6.42,1.0765,40.9606,23.6407,2.6,7.962118526954187,0.7306837840886712,1,1,False,False,True,False,False,False
TRMDA DC Equity,2024,3469.6,5.33,5.02,6.42,1.2877,32.7717,19.3225,2.6,8.151794592521156,0.8275469460396007,1,1,False,False,True,False,False,False
TRYG DC Equity,2021,100392.0,0.26,1.84,6.45,2.0692,10.3085,3.9155,0.93,11.516837801790144,1.121416941321373,1,0,False,False,False,False,False,True
TRYG DC Equity,2022,113387.0,0.26,1.89,6.73,1.9396,4.911,2.1022,0.94,11.638562025256329,1.078273517672579,1,0,False,False,False,False,False,True
TRYG DC Equity,2023,112940.0,0.26,1.89,6.73,2.1835,9.4083,3.403,0.94,11.634611983226828,1.157981220474943,1,0,False,False,False,False,False,True
TRYG DC Equity,2024,104376.0,0.26,1.89,6.73,2.7603,12.4705,4.4323,0.94,11.555755042945584,1.3244987414530136,1,0,False,False,False,False,False,True
VJBA DC Equity,2021,43309.983,0.0,1.32,5.92,1.1991,25.8823,3.2516,0.37,10.676138441689549,0.7880481857546652,1,0,False,False,False,False,False,True
VJBA DC Equity,2022,41953.297,0.0,1.21,5.23,1.0851,9.7755,1.2739,0.37,10.644312302370803,0.734816815731338,1,0,False,False,False,False,False,True
VJBA DC Equity,2023,44437.318,0.0,1.4,5.61,1.232,16.4909,2.397,0.6,10.701834890897263,0.8028980445190645,1,0,False,False,False,False,False,True
VJBA DC Equity,2024,48491.81,0.0,1.4,5.61,2.1366,12.3789,1.8865,0.6,10.789150196686728,1.1431394107181871,1,0,False,False,False,False,False,True
VWS DC Equity,2021,19648.0,2.86,4.45,6.2,2.8485,1.3279,0.328,5.15,9.88573083094687,1.347683461992235,1,1,False,False,True,False,False,False
VWS DC Equity,2022,20090.0,5.47,5.62,6.56,3.5483,-40.6832,-6.88861,4.93,9.90797745780898,1.5147535367735085,1,1,False,False,True,False,False,False
VWS DC Equity,2023,22514.0,5.47,5.62,6.56,3.2506,2.5366,0.3615,4.93,10.02189261691475,1.4470601494424535,1,0,False,False,True,False,False,False
VWS DC Equity,2024,24644.0,5.47,5.62,6.56,3.0703,15.2227,2.1163,4.93,10.112288742134462,1.4037167068117598,1,0,False,False,True,False,False,False
